Date,Open,High,Low,Close,Volume,OpenInt
2007-01-23,21.605,21.738,21.605,21.709,7788,0
2007-01-24,21.729,21.86,21.729,21.854,65135,0
2007-01-25,21.854,21.854,21.592,21.599,11280,0
2007-01-26,21.599,21.895,21.461,21.555,5513,0
2007-01-29,21.547,21.585,21.53,21.539,6505,0
2007-01-30,21.653,21.729,21.592,21.716,12762,0
2007-01-31,21.521,21.816,21.521,21.816,11384,0
2007-02-01,21.915,22.001,21.915,22.001,9178,0
2007-02-02,21.93,21.944,21.839,21.944,73510,0
2007-02-05,21.848,21.878,21.783,21.878,16021,0
2007-02-06,21.962,22.016,21.937,22.001,16989,0
2007-02-07,22.041,22.154,22.041,22.101,6179,0
2007-02-08,21.962,22.085,21.944,22.061,4789,0
2007-02-09,22.061,22.076,21.902,21.937,23774,0
2007-02-12,21.823,21.839,21.823,21.839,1622,0
2007-02-13,21.91,22.024,21.91,22.024,7386,0
2007-02-14,22.124,22.357,22.124,22.349,6445,0
2007-02-15,22.357,22.357,22.256,22.301,16934,0
2007-02-16,22.232,22.285,22.17,22.268,11342,0
2007-02-20,22.247,22.301,22.162,22.301,21487,0
2007-02-21,22.124,22.185,22.094,22.185,8737,0
2007-02-22,22.185,22.74,22.14,22.232,13639,0
2007-02-23,22.292,22.324,22.24,22.301,10489,0
2007-02-26,22.48,22.48,22.309,22.37,15140,0
2007-02-27,22.008,22.008,21.306,21.424,39382,0
2007-02-28,21.53,21.638,20.475,21.499,37813,0
2007-03-01,21.075,21.306,19.65,21.237,51022,0
2007-03-02,21.066,21.144,20.96,20.998,13385,0
2007-03-05,20.158,20.822,20.158,20.636,43227,0
2007-03-06,20.897,21.137,20.836,21.137,17464,0
2007-03-07,21.137,21.291,21.045,21.193,9331,0
2007-03-08,21.228,21.453,21.228,21.383,7029,0
2007-03-09,21.468,21.484,21.36,21.424,18414,0
2007-03-12,21.383,21.468,21.351,21.453,5408,0
2007-03-13,21.415,21.415,20.952,21.004,32968,0
2007-03-14,20.467,20.99,20.467,20.99,12692,0
2007-03-15,20.99,21.144,20.976,21.144,5983,0
2007-03-16,21.221,21.492,20.705,21.207,25003,0
